date,index
2014-05-19,1022
2014-05-20,1010
2014-05-21,988
2014-05-22,966
2014-05-23,964
2014-05-27,973
2014-05-28,954
2014-05-29,940
2014-05-30,934
2014-06-02,934
2014-06-03,948
2014-06-04,959
2014-06-05,977
2014-06-06,989
2014-06-09,999
2014-06-10,1004
2014-06-11,973
2014-06-12,939
2014-06-13,906
2014-06-16,880
2014-06-17,858
2014-06-18,867
2014-06-19,905
2014-06-20,904
2014-06-23,886
2014-06-24,867
2014-06-25,846
2014-06-26,824
2014-06-27,831
2014-06-30,850
2014-07-01,894
2014-07-02,890
2014-07-03,890
2014-07-04,893
2014-07-07,888
2014-07-08,881
2014-07-09,863
2014-07-10,836
2014-07-11,814
2014-07-14,798
2014-07-15,782
2014-07-16,755
2014-07-17,738
2014-07-18,732
2014-07-21,724
2014-07-22,723
2014-07-23,727
2014-07-24,732
2014-07-25,739
2014-07-28,743
2014-07-29,747
2014-07-30,754
2014-07-31,755
2014-08-01,751
2014-08-04,753
2014-08-05,755
2014-08-06,759
2014-08-07,765
2014-08-08,777
2014-08-11,792
2014-08-12,836
2014-08-13,871
2014-08-14,942
2014-08-15,1015
2014-08-18,1042
2014-08-19,1040
2014-08-20,1061
2014-08-21,1096
2014-08-22,1088
2014-08-26,1070
2014-08-27,1063
2014-08-28,1119
2014-08-29,1147
2014-09-01,1151
2014-09-02,1149
2014-09-03,1142
2014-09-04,1147
2014-09-05,1155
2014-09-08,1166
2014-09-09,1197
2014-09-10,1197
2014-09-11,1186
2014-09-12,1181
2014-09-15,1173
2014-09-16,1150
2014-09-17,1124
2014-09-18,1089
2014-09-19,1075
2014-09-22,1077
2014-09-23,1073
2014-09-24,1056
2014-09-25,1038
2014-09-26,1049
2014-09-29,1062
2014-09-30,1063
2014-10-01,1055
2014-10-02,1041
2014-10-03,1037
2014-10-06,1029
2014-10-07,1015
2014-10-08,991
2014-10-09,974
2014-10-10,963
2014-10-13,954
2014-10-14,948
2014-10-15,935
2014-10-16,930
2014-10-17,944
2014-10-20,973
2014-10-21,1090
2014-10-22,1136
2014-10-23,1155
2014-10-24,1192
2014-10-27,1285
